Movie Title,Movie URL,Synopsis
"Battle of Shaker Heights, The","https://imsdb.com/Movie Scripts/Battle of Shaker Heights, The Script.html","A young war reenactor makes a friend on the battlefield who helps him use strategy to take on his high school enemy. Driven by newfound confidence, he seduces the friend's fetching older sister and risks the friendship. Reality intervenes when the illness of his ex-addict father forces the anger his irony masks to the surface and he has to decide if staying in a fantasy world is worth the consequences.—Anonymous"
Battle: Los Angeles,https://imsdb.com/Movie Scripts/Battle: Los Angeles Script.html,"After a meteor shower around the world, the governments learn that it is actually an alien invasion and organize counter-attacks. In Los Angeles, the Marine Sergeant Michael Nantz is ready to retire after a great trauma in the past when he lost all the men under his command in a mission. However, his platoon is assigned to bring the civilians that are sheltered in the Police Department, in an area dominated by the aliens, back to forward operating base (F.O.B.) before the bombs drop on the city. Sgt. Nantz assists 2nd Lieutenant William Martinez and they have to accomplish their mission within three hours. The marines meet few civilians and survivors from other commandos and when they are ready to fly to the base, the helicopter with the wounded marines is shot down and crashes. Now the marines need to reach the base with the civilians through the destroyed streets and highways using a bus. Along their journey, the marines learn how to kill the invaders but only a few of them survive. When the mission is accomplished, Sgt. Nantz and the survivors decide to destroy the alien communication center and consequently their airborne force.—Claudio Carvalho, Rio de Janeiro, Brazil"
"Beach, The","https://imsdb.com/Movie Scripts/Beach, The Script.html","For his first major project after the overwhelming success of Titanic, Leonardo Di Caprio took a risky path in this adaptation of Alex Garland's acclaimed novel, directed by Danny Boyle. Richard (Di Caprio) is an American backpacking through Asia with a handful of friends from Europe. While in Bangkok, he meets a mad Scotsman who calls himself Daffy Duck (Robert Carlyle). Shortly before Mr. Duck kills himself, he gives Richard a crude map to a place in Thailand that he claims is paradise on earth: beautiful, unspoiled, and uninhabited. For lack of anything better to do, Richard and his companions try to locate the spot, which, after a dangerous and taxing journey, takes them to a beach as beautiful as Duck said it would be. Richard and his friends settle in, but before long they discover that they are not alone; a large group of fellow travelers has already dug themselves in, and they have established a community with the same social evils that Richard was hoping to leave behind. Just as important, there is an army of natives who grow marijuana in the nearby hills and do not appreciate the presence of these visitors."
Bean,https://imsdb.com/Movie Scripts/Bean Script.html,"Mr. Bean (Rowan Atkinson) is an eccentric caretaker working for the British National Gallery in London, England. He is going to get fired by the museum's board of directors, because he doesn't do his job and all he does is sleep. But the board instead decides to send Mr. Bean to Los Angeles, where David Langley (Peter MacNicol), curator of a museum in downtown Los Angeles has requested that the board of directors of the British national gallery sends a art scholar to talk about their latest purchase, the famous painting ""Whistler's Mother"" which military officer General Newton (Burt Reynolds) has donated to the museum, at a opening conference. But Mr. Bean's arrival in Los Angeles causes mayhem, as David invites Mr. Bean to stay with his family and begins causing problems for David's marriage. But Mr. Bean doesn't know anything about paintings and although they think he is a brilliant, eccentric art scholar, he really isn't the right man to protect the painting as his behavior also threatens the painting.—Daniel Williamson"
Beasts of No Nation,https://imsdb.com/Movie Scripts/Beasts of No Nation Script.html,"Follows the journey of a young boy, Agu, who is forced to join a group of soldiers in a fictional West African country. While Agu fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination Depicts the mechanics of war and does not shy away from explicit, visceral detail, and paints a complex, difficult picture of Agu as a child soldier.—Bennie Carden"
Beasts of the Southern Wild,https://imsdb.com/Movie Scripts/Beasts of the Southern Wild Script.html,"Six year old Hushpuppy and her single father, Wink, have a unique relationship and existence. They live in a small community coined The Bathtub located in the Mississippi River delta, The Bathtub which has been physically isolated from the rest of the world ever since the building of the levee upstream. Wink and the other adults in The Bathtub have a protective attitude toward their community. Everyone in The Bathtub knows that the community is under threat of being submerged if a big storm hits or with climate change melting the ice caps resulting in a rising sea level, but they refuse to leave regardless. Hushpuppy and Wink live on a sprawling and seemingly disorganized, rundown and overgrown piece of property off of which they raise animals for food. Father and daughter live in separate raised structures on the property. Despite loving each other, Hushpuppy and Wink have a relationship that is often punctuated by arguments and altercations, sometimes physical. Hushpuppy has a combination of outlooks on life. Some of it is highly fantasized, such as the way she views her absent biological mother solely from the stories told to her by Wink, Hushpuppy who has no remembrance of her directly, or her thoughts of aurochs being released from the melting icecaps - as told to her and the other children by their teacher, holistically minded Miss Bathsheba - only eventually to invade their community. And some of it is wise beyond her years, such as her belief that she is just a small cog in the universe, within which all those small cogs are somehow interrelated. When a big storm does hit the region, Wink, Hushpuppy and the other residents of The Bathtub who decide to stay have to figure out how to survive. What does happen is affected by a secret Wink is keeping from his daughter, something she, with her eyes somewhat wide open, may be able to see but not fully comprehend.—Huggo"
Beauty and the Beast,https://imsdb.com/Movie Scripts/Beauty and the Beast Script.html,"A young selfish prince has been turned into a Beast by an Enchantress for refusing to give her shelter and his servants have been turned into household objects. In order for the curse to be lifted, the Beast must learn to love and earn that person's love in return before the last petal falls, but if he fails to love someone his curse will be permanent. Belle is a young village book-worm, she has lost her mother when she was a baby and she is living with her widowed father, Maurice. Belle longs for a more better life away from the small village. Matters soon become worse, when Maurice is imprisoned by the Beast for supposedly stealing from him. Belle takes her father's place as the Beast's prisoner. Belle soon learns from the servants about how the Prince was very kind, but after his mother died from an illness, his abusive father raised his son to be selfish. Belle decides to help the servants lift the curse and help the Beast learn to be compassionate towards others. As days begin to pass, Belle starts to fall in love with the Beast, but her love for the prince will ultimately lead her into a conflict with Gaston, an arrogant soldier and hunter, who wants to marry Belle.—dawsonpersi"
Beavis and Butt-head Do America,https://imsdb.com/Movie Scripts/Beavis and Butt-head Do America Script.html,"Our intrepid adolescent heroes wake up to find their beloved television stolen, and embark on an epic journey across America to recover it, and, who knows, maybe even score. On the way they encounter a murderous smuggler of a deadly virus and his treacherous wife, an FBI agent with a predilection for cavity searches, a couple of rather familiar looking ex-Motley Crue roadies, Mr. Van Dreesen singing ""Lesbian Seagull"", a little old lady and of course Mr. Anderson and his trailer. Can the Great Cornholio save the day? Uh-huh. Huh-huh.—Martin H. Booda <booda@datasync.com>"
Beginners,https://imsdb.com/Movie Scripts/Beginners Script.html,"In 2003, 38-year-old graphic artist Oliver Fields has just lost his father Hal to cancer, 5 years after his mother Georgia's death. Oliver is naturally sullen because of his relationships with his parents growing up (especially his mother, who had a unique view of life) and watching their cordial but somewhat distant marital relationship, but he's more so now as he deals with his personal losses. He embarks on a relationship with French actress Anna, hoping that his re-energized relationship with Hal following Georgia's death, and Hal's new outlook on life, will show him how to act in a loving relationship. After Georgia's death, Hal came out of the closet and began to live with a new joie de vivre and have an open relationship with Andy, a much-younger man. Oliver's relationship with Anna has other obstacles, including her own vagabond lifestyle and Oliver inheriting Arthur, Hal's very needy Jack Russell terrier.—Huggo"
Being Human,https://imsdb.com/Movie Scripts/Being Human Script.html,"A werewolf, a vampire, and a ghost live in a flat in Bristol. Where's the punchline, right? Wrong. It's so much more complex than that, and once you sit down and give it a chance, you'll see it was a great decision. This is one of the best shows to grace the airways. Everyone needs to give this a go. You won't regret it.—zilla92"
Being John Malkovich,https://imsdb.com/Movie Scripts/Being John Malkovich Script.html,"Puppeteer Craig Schwartz and animal lover and pet store clerk Lotte Schwartz are just going through the motions of their marriage. Despite not being able to earn a living solely through puppeteering, Craig loves his profession as it allows him to inhabit the skin of others. He begins to take the ability to inhabit the skin of others to the next level when he is forced to take a job as a file clerk for the off-kilter LesterCorp, located on the five-foot tall 7½ floor of a Manhattan office building. Behind one of the filing cabinets in his work area, Craig finds a hidden door which he learns is a portal into the mind of John Malkovich, the visit through the portal which lasts fifteen minutes after which the person is spit into a ditch next to the New Jersey Turnpike. Craig is fascinated by the meaning of life associated with this finding. Lotte's trips through the portal make her evaluate her own self. And the confident Maxine Lund, one of Craig's co-workers who he tells about the portal if only because he is attracted to her, thinks that it is a money making opportunity in selling trips into Malkovich's mind after office hours for $200 a visit. Craig, Lotte and Maxine begin to understand that anyone entering the portal has the ability to control Malkovich's mind, which also alters his entire being. This experience makes Maxine fall in love with a composite. This ability to control Malkovich's mind begs the question of the ultimate psychedelic trip for Malkovich himself, who begins to feel that something is not right in the world as he knows it.—Huggo"
Being There,https://imsdb.com/Movie Scripts/Being There Script.html,"Chance is mentally challenged, those that know him who would probably call him simple. He doesn't know how to read or write. For as long as he can remember, he has worked as the gardener for his long time employer Mr. Jennings, has never stepped off the property of Jennings' brownstone in Washington DC, has only known Jennings and the only other household servant, a maid/cook named Louise who tends to all his meals, and has only had contact to the outside world indirectly via television, the channels on which he is frequently changing as he watches. Conversely, no one but Jennings and Louise know that he lives there. He only fully understands the world of his garden, all else, including what he sees on TV, he not comprehending in their entirety. His wardrobe consists largely of Jennings' discarded but well appointed clothes. After Jennings dies, Chance is sent ""into the world"" not truly understanding what his new situation means. By chance, he eventually meets wealthy Eve Rand, who, out of circumstance, invites him to her and much older ill husband's house. Her husband, Ben Rand, is a financier, who will probably imminently pass from his aplastic anemia. Not fully comprehending what Chance is truly saying, they believe his name to be Chauncey Gardner, and that he is a man of wealth and straightforward deep insight. As such, they introduce him to their rich and powerful friends - some very rich and extremely powerful - who believe, largely because Ben Rand says so, that Chauncey is brilliant in a down home way, his brilliance which they state in public. The question then becomes whether anyone will notice that the emperor has no clothes (to use an old adage), even after background checks on ""Chauncey Gardner"" come up empty and especially if their public praise of him has gone too far to go back.—Huggo"
"Believer, The","https://imsdb.com/Movie Scripts/Believer, The Script.html","With youthful ignorance and ardent longing for connection with the unknown inviting evil's suffocating grasp, unprotected schoolgirls Angela and Katherine return home changed. As a result, their mental and physical health mysteriously deteriorate in parallel, baffling logic and challenging faith. Suddenly, demonic possession enters the equation, further confusing their parents. But there's no denying that something wicked has latched onto the vanished girls. After all, others have witnessed the devil's work before; they encountered unadulterated darkness and lived to tell the tale. However, pressing questions remain unanswered. Is demonic influence real? Are the young hosts' souls in danger?—Nick Riganas"
Belle,https://imsdb.com/Movie Scripts/Belle Script.html,"It's the late eighteenth century. Dido Elizabeth Belle, the biracial illegitimate daughter of Royal Navy Captain Sir John Lindsay (Matthew Goode) and a West Indian slave, grew up in privilege with her paternal cousin Elizabeth Murray (Sarah Gadon) in the household of their and Sir John's Uncle Lord William Murray, 1st Earl of Mansfield (Tom Wilkinson) and Aunt Lady Mansfield (Emily Watson), he a Chief Justice. While Dido and Elizabeth have always treated each other as sisters and have considered Lord and Lady Mansfield like their own parents, Dido, although living in comfort, is not afforded all that is given to Elizabeth, due to the color of her skin. As such, Dido is not to come out as Elizabeth is in finding a suitable husband who can raise her status in society. Conversely, Sir John, upon his death, provided financially for Dido, unlike Elizabeth's father, who has made no such financial arrangement for her, making Dido financially secure regardless of what happens with her in terms of matrimony. Regardless, Dido still wants all that it means to come out, she being casually courted by Oliver Ashford (James Norton), against the wishes of his mother and brother, Lady Ashford (Miranda Richardson) and James Ashford (Tom Felton), who in turn is courting Elizabeth. Bigoted Lady Ashford and James do whatever in their power to make Dido's life a living hell, especially if it looks as if she and Oliver plan to marry. Meanwhile, Dido befriends John Davinier (Sam Reid), the son of a local vicar and an aspiring lawyer, who is researching a case for Lord Mansfield regarding an insurance claim filed by a slave ship's owner for loss of slaves at sea due to illness. Lord Mansfield and John end up having a falling out about one aspect of the case, John wanting the case to lead to abolishing of slavery in England. Through Dido secretly helping John with the case behind Lord Mansfield's back, she and John fall in love. Such a relationship, if it comes to light, having many obstacles including the objections of Lord and Lady Mansfield in favor of Oliver Ashford as a more suitable husband for Dido.—Huggo"
Beloved,https://imsdb.com/Movie Scripts/Beloved Script.html,"Slavery, brief freedom, and their lasting psychological presence. Some years after the Civil War, former slave Sethe lives with her grown daughter Denver outside Cincinnati. Sethe is stolid and hardworking; Denver wants society. Paul D, a former slave who knew Sethe, happens on them and joins the farm and family, but not before the house rattles and pitches as if spirits reject Paul D's arrival. Next, inexplicably, a young woman about Denver's age arrives, behaving in childlike ways, speaking and walking awkwardly, calling herself ""Beloved."" Who she is, her effect on Sethe, and Paul D's responses propel Sethe into the past and Denver into a new maturity.—<jhailey@hotmail.com>"
Benny & Joon,https://imsdb.com/Movie Scripts/Benny %2526 Joon Script.html,"In Spokane, Washington, Juniper Pearl - Joon to those that know her - is an artist. She is also a mentally challenged young woman who requires around the clock care, as she could cause harm to herself or others. Her brother Benny Pearl, who owns and operates a garage and who is her only living relative since their parents died twelve years ago in a car accident, has made the decision that she would live at home with him, in the process sacrificing being able to have a personal life of his own. He has hired full-time housekeepers to provide that care when he isn't around. However, he has exhausted the list of housekeepers, who keep quitting because Joon is too much to handle. As such, Benny makes the decision that perhaps it would be best for all concerned if Joon were to live in a group home, something he is hesitating telling her for fear of her reaction. Into their lives comes Sam, the eccentric cousin of Benny's friend Mike, who they obtained from Mike in a losing hand of poker. Among his eccentricities, Sam has a penchant for bursting into Buster Keatonesque physical comedy routines. As Sam ultimately makes a connection with both Benny and Joon, he becomes a complicating factor in their lives as Benny evaluates Sam's fitness to handle both the good and bad of Joon.—Huggo"
"Best Exotic Marigold Hotel, The","https://imsdb.com/Movie Scripts/Best Exotic Marigold Hotel, The Script.html","Seven British pensioners, five individuals and one married couple, meet on a flight from England to Jaipur, India, where they have all made the decision to live at the Best Exotic Marigold Hotel, a new luxurious, but inexpensive, seniors facility located on the outskirts of the city and which is geared at their white, English demographic. They each independently saw it advertised, and each has an issue in his or her life which has prompted him or her to make this change in scenery. Evelyn Greenslade (Dame Judi Dench) is just widowed, and is now emotionally and financially lost as she had for her entire married life depended on her husband for almost everything. Married couple Jean Ainslie (Dame Penelope Wilton) and Douglas Ainslie (Bill Nighy) lost much of their retirement savings on a bad investment and have had to downgrade their retirement expectations. Muriel Donnelly (Dame Maggie Smith), who only trusts white Brits, is reluctantly going to expedite her needed hip replacement, which she can have done immediately in a transfer program with an Indian facility or else endure the several months in pain on the British health care system waiting list. Madge Hardcastle (Celia Imrie), between husbands, needs to escape her married daughter's home, where she is treated largely as the babysitter, to find the next in a long line of lovers/husbands. Norman Cousins (Ronald Pickup) is somewhat a less sexually successful male version of Madge, he a lonely man who wants a new collection of unsuspecting women who may not be wise to his old and tired pick-up moves. They all look largely to Graham Dashwood (Tom Wilkinson), a just retired judge, as their guide, who grew up close to Jaipur and wants to return to the sweet side of his bittersweet child and young adulthood memories, namely the love of his life who he has not seen since that time, while dealing with the aftermath of the bitter side. Upon their arrival, they find that Sonny (Dev Patel), the hotel manager and minority co-owner of the hotel, has misrepresented the luxury and new side of the hotel, that representation which he ultimately wants it to be based on his business plan that western countries, like Britain, will want to ""outsource"" the needs of their elderly. As the seven adjust their lives to their new reality while dealing with Sonny and their own personal issues, Sonny has to appease: the residents; his two Delhi residing brother majority co-owners whose interests are represented by their hard as nails mother, who does not approve of Sonny's choice of a wife, Sunaina (Tina Desai), despite never having met her; and potential investors, whose money he needs to achieve his less than easily achievable business dream, the current new residents which he hopes to use as props to show how successful his plan can be.—Huggo"
Big,https://imsdb.com/Movie Scripts/Big Script.html,"Leonard Hofstadter and Sheldon Cooper are both brilliant physicists working at Cal Tech in Pasadena, California. They are colleagues, best friends, and roommates, although in all capacities their relationship is always tested primarily by Sheldon's regimented, deeply eccentric, and non-conventional ways. They are also friends with their Cal Tech colleagues mechanical engineer Howard Wolowitz and astrophysicist Rajesh Koothrappali. The foursome spend their time working on their individual work projects, playing video games, watching science-fiction movies, or reading comic books. As they are self-professed nerds, all have little or no luck with women. When Penny, a pretty woman and an aspiring actress from Omaha, moves into the apartment across the hall from Leonard and Sheldon's, Leonard has another aspiration in life, namely to get Penny to be his girlfriend.—Huggo"
"Big Blue, The","https://imsdb.com/Movie Scripts/Big Blue, The Script.html","Enzo and Jacques have known each other for a long time. Their friendship started in their childhood days in the Mediterranean. They were not real friends in these days, but there was something they both loved and used to do the whole day long: diving. One day Jacques' father, who was a diver too, died in the Mediterranean sea. After that incident Enzo and Jacques lost contact. After several years, Enzo and Jacques had grown up, Johanna, a young clerk in an insurance office, has to go to Peru. There she meets Jacques who is being studied by a group of scientists. He dives for some minutes into ice-cold water and the scientists monitor his physical state that is more like a dolphin than human. Johanna can not believe what she sees and gets very interested in Jacques but she's unable to get acquainted with him. Some weeks later back in her office, she finds out that Jacques will be competing in a diving championship that takes place in Taormina, Sicily. In order to see Jacques again she makes up a story so the firm sends her to Italy for business purposes. In Taormina there is also Enzo, the reigning diving world champion. He knows that only Jacques can challenge and probably beat him. This time Johanna and Jacques get closer, but Jacques, being more a dolphin than man, cannot really commit and his rivalry with Enzo pushes both men into dangerous territory...—Reiner Rosin <rosin@mi-lab.fh-furtwangen.de>"
Big Eyes,https://imsdb.com/Movie Scripts/Big Eyes Script.html,"The story opens in the late 1950s, when Margaret Keane (Amy Adams) packs up the car with her daughter and their personal belongings, and leaves her husband to start a new life in San Francisco. There, Margaret quickly reconnects with her old friend DeeAnn (Krysten Ritter) and falls head over heels for Walter (Christoph Waltz), an artist and part-time real-estate broker who soon shows great interest in her unique paintings of small children with strikingly expressive, saucer-like eyes. Before long, the two are married, with Walter claiming credit for Margaret's increasingly popular paintings. With money rolling in, Margaret initially agrees to go along with the ruse, but the closer she gets to her new husband, the more she begins to realize that he's little more than a smooth-talking scam artist. Later, riddled with guilt over the fact that she's been deceiving her own daughter as her paintings become a pop-culture phenomenon, Margaret leaves the increasingly abusive Walter and moves to Hawaii. Only then does Margaret gain the confidence to reclaim the works that have been credited to her husband, even when doing so entails going before a judge and proving that she and she alone created the enchanting children with the big eyes."
Big Fish,https://imsdb.com/Movie Scripts/Big Fish Script.html,"United Press International journalist Will Bloom and his French freelance photojournalist wife Josephine Bloom, who is pregnant with their first child, leave their Paris base to return to Will's hometown of Ashton, Alabama on the news that his father, Edward Bloom, stricken with cancer, will soon die, he being taken off chemotherapy treatment. Although connected indirectly through Will's mother/Edward's wife, Sandra Bloom, Will has been estranged from his father for three years since his and Josephine's wedding. Will's issue with his father is the fanciful tales Edward has told of his life all his life, not only to Will but the whole world. As a child when Edward was largely absent as a traveling salesman, Will believed those stories, but now realizes that he does not know his father, who, as he continues to tell these stories, he will never get to know unless Edward comes clean with the truth before he dies. On the brink of his own family life beginning, Will does not want to be the kind of father Edward has been to him. One of those stories from Edward's childhood - that he saw his own death in the glass eye of a witch - led to him embracing life since he would not have to fear death knowing when and how it would eventually come. The question is whether Will will be able to reconcile Edward's stories against his real life, either directly from Edward before he dies and/or from other sources, and thus allow Will to come to a new understanding of himself and his life, past, present and future.—Huggo"
"Big Lebowski, The","https://imsdb.com/Movie Scripts/Big Lebowski, The Script.html","There are 2 men named Jeffrey Lebowski. One's a lazy, pot smoking, White Russian-drinking, hippie who goes by the nickname, 'The Dude.' The other's a self-made multimillionaire, war veteran, who lives in a mansion with a full-time assistant, due to his being handicapped. Their paths cross when the millionaire's trophy wife owes money to a known pornographer, and she's held in lieu of getting his money repaid. The thugs hired by this pornographer initially confront the dude because they were unaware he has the same name. Wanting payback for his now-destroyed rug, the dude seeks out the millionaire Lebowski. What follows takes the dude and his bowling buddies Walter and Donnie on a mission full of intrigue, kidnapping, pornography, nihilists, White Russians, and more White Russians.—halo1k"
"Big Sick, The","https://imsdb.com/Movie Scripts/Big Sick, The Script.html","Of Pakistani background, Kumail Nanjiani is trying to make a living as a stand-up comic in Chicago, he hanging out with other struggling comics in wanting to make it big, such opportunities which include trying to impress Bob Dalavan whenever he is in the audience, Dalavan who sets the lineup for the Montreal Comedy Festival. To make ends meet, Kumail also works as an Uber driver. His parents emigrated to the US for a better life for the family, while they retain their cultural beliefs. To keep his parents happy, they who know about his stand-up life, Kumail lies to them that he is studying to take the LSAT while he has no intention to do so or thus become a lawyer. He also dutifully attends dinners at their house where they've invited potential brides for him ultimately in having that arranged marriage, while he doesn't tell them that he has no intention of ever marrying any of those women regardless if there is any spark in that meeting, he wanting to fall in love and marry the woman of his own choice. This latter lie is all the more difficult as they arranged the marriage for Kumail's brother Naveed and his now wife Fatima, who are happy in their life. Although neither is looking to date when they meet, Kumail and Caucasian grad student Emily Gardner, who was in the audience at one of his shows, begin a relationship which develops into something serious. However, much like Kumail lies to his parents, he also lies to Emily in not telling her about the arranged ""dates"" at his parents' house, he not yet willing to stand up to them even in being in this relationship. This lie threatens Kumail and Emily's relationship. Kumail may get a clearer picture of love, marriage and the dichotomy between his want not to disrespect his parents while respecting his feelings for Emily when he meets Emily's parents from North Carolina, Terry and Beth Gardner, with Emily their collective focus while still somewhat of a bystander in what happens between Kumail, Terry and Beth.—Huggo"
"Big White, The","https://imsdb.com/Movie Scripts/Big White, The Script.html","A black comedy centered on Paul Barnell, a down on his luck Alaska travel agent who's on the brink of bankruptcy and whose beloved wife, Margaret, is on the brink of insanity. So what's a nice guy with good intentions but bad business sense to do? The answer lies frozen in a dumpster outside of Barnell Great Escapes-a dead body Paul hopes to pass off as his long-lost brother Raymond and then collect on the life insurance. Unfortunately, investigator Ted Watters who's anxious to transfer back to the lower 48 with his girlfriend, isn't about to let Barnell walk away with a million bucks. Adding to Paul's avalanche of problems are two aspiring hit men-turned-kidnappers and the stunning return of the supposedly dead Raymond, who now has an ax to grind with his brother. Desperation is running high in the ""big white,"" and if Paul is smart, he'll blow the snow, take the money and run...to South America.—Echo Bridge Home Entertainment"
Birdman,https://imsdb.com/Movie Scripts/Birdman Script.html,"Actor Riggan Thomson is most famous for his movie role from over twenty years ago of the comic book superhero Birdman in the blockbuster movie of the same name and its two equally popular sequels. His association with the role took over his life, where Birdman is more renowned than ""Riggan Thomson"" the actor. Now past middle age, Riggan is trying to establish himself as a true artist by writing, directing, starring in and co-producing with his best friend Jake what is his Broadway debut, an adaptation of Raymond Carver's story, What We Talk About When We Talk About Love. He is staking his name, what little artistic reputation that comes with that name and his life savings on the project, and as such will do anything needed to make the play a success. As he and Jake go through the process of the previews toward opening night, Riggan runs into several issues: needing to find a replacement for the integral supporting male role the night before the first preview; hiring the talented Broadway name, Mike Shiner, for that role, Mike who ends up being difficult to work with and who may end up overshadowing Riggan in the play; having to deal potentially with a lawsuit based on one of his actions to ensure success; needing to be there for his daughter, Sam, who he has hired to be his production assistant and who has just come out of drug rehab; and pleasing the New York Times critic, Tabitha Dickinson, who wants to use any excuse to give the play a scathing review which in turn would close the show after the opening night performance. But Riggan's biggest problem may be his own insecurities, which are manifested by him constantly hearing what he believes to be the truth from the voice of his Birdman character, who he often battles both internally and externally.—Huggo"
"Birds, The","https://imsdb.com/Movie Scripts/Birds, The Script.html","San Francisco based socialite Melanie Daniels, whose father is a newspaper publisher and whose mother ran off when Melanie was eleven, used to lead a fast and carefree life, although she is trying now to do useful and meaningful work with her time. The two holdovers from her old life are that fast and loose reputation, and playing practical jokes at whatever cost and whatever expense the outcome. It is on a prank, this time on her, that she officially meets criminal lawyer Mitch Brenner, the prank largely centered on the topic of birds. Wanting to repay him for the prank, Melanie drives to his weekend home up the coast outside the working class community of Bodega Bay to surprise him, there where he lives with his widowed mother and his eleven year old sister, Lydia Brenner and Cathy Brenner. While Cathy likes Melanie, Lydia is distant toward her, much like she is toward any woman interested in Mitch, such as the local schoolteacher, Annie Hayworth, who originally moved to Bodega Bay from San Francisco four years ago as Mitch's girlfriend at the time. The day of Melanie's arrival in Bodega Bay, a number of odd occurrences happen all with respect to birds, one of those incidents being a sole seagull swooping down and giving her one good peck on the head. With Melanie still in town, the bird occurrences become more frequent, massive and violent, they seemingly wanting to kill. Mitch notices that the attacks go in waves and are generally in the same pattern of the birds massing quietly, attacking all of a sudden then disappearing to mass again quietly somewhere else. Melanie and the Brenners have to decide how long to stay in Bodega Bay before it becomes too dangerous, by which time it may be too late.—Huggo"
Birthday Girl,https://imsdb.com/Movie Scripts/Birthday Girl Script.html,"Internet love connections and mail-order brides rarely ever work out, and John should have known. Having never been lucky in the game of love and tired of waiting for the perfect woman to come along, John decides to take his chances and orders a mail-order bride from Russia online. At first, things seem perfect: his new bride Nadia is a gorgeous woman, and although she may not speak much English, her skills in the bedroom more than make up for any communication problems. When Nadia's 'cousins' unexpectedly arrive to celebrate her birthday, John is drawn into their web of corruption and crime.—Anna <dimenxia@yahoo.com>"
"Black Dahlia, The","https://imsdb.com/Movie Scripts/Black Dahlia, The Script.html","In 1946, the former boxers Dwight ""Bucky"" Bleichert and Lee Blanchard are policemen in Los Angeles. Lee has a good relationship with his chief and uses a box fight between them to promote the department and get a raise to the police force. They succeed and are promoted to homicide detectives, working together. Bucky becomes a close friend of Lee and his girlfriend Kay Lake, forming a triangle of love. When the corpse of the aspirant actress Elizabeth Short is found mutilated, Lee becomes obsessed to solve the case called by the press Black Dahlia. Meanwhile, Bucky's investigation leads him to a Madeleine Linscott, the daughter of a powerful and wealthy constructor that resembles the Black Dahlia. In an environment of corruption and lies, Bucky discloses hidden truths.—Claudio Carvalho, Rio de Janeiro, Brazil"
Black Panther,https://imsdb.com/Movie Scripts/Black Panther Script.html,"Follows T'Challa who, after the death of his father, the King who of Wakanda, returns home to the isolated, technologically advanced African nation to succeed to the throne and take his rightful place as king. But when a powerful old enemy reappears, T'Challa's mettle as king and Black Panther is tested when he is drawn into a formidable conflict that puts the fate of Wakanda and the entire world at risk. Faced with treachery and danger, the young king must rally his allies and release the full power of Black Panther to defeat his foes and secure the safety of his people and their way of life.—ahmetkozan"
Black Rain,https://imsdb.com/Movie Scripts/Black Rain Script.html,"When a member of the Japanese Yakuza is arrested in New York, detectives Nick Conklin and Charlie Vincent are assigned to escort him to Japan. Conklin in particular is none too pleased that they are not prosecuting the prisoner themselves. They no sooner arrive in Japan however than they are duped and turn their prisoner over to gangsters posing as police. The detectives stay on in Japan hoping to work with their Japanese counterparts but have some difficulty dealing with local protocol and customs. Over time, Conklin develops a working relationship with Detective Masahiro and together they manage to ensure justice is served.—garykmcd"
Black Snake Moan,https://imsdb.com/Movie Scripts/Black Snake Moan Script.html,"In rural Tennessee, Lazarus, a former blues musician who survives by truck farming, finds a young girl nearly beaten to death near his home. She's the white-trash town tramp, molded by a life of sexual abuse at the hands of her father and verbal abuse from her mother, who seems to delight in reminding Rae of her mistake in not aborting her. Lazarus, who is also facing personal crisis at the dissolution of his marriage, nurses Rae back to health, providing her with gentle, fatherly advice as well as an education in blues music. Rae's boyfriend, Ronnie, goaded by the man who nearly beat Rae to death, misunderstands the relationship between Lazarus and Rae, and vows to kill him. Lazarus, exhibiting a street-smart understanding of violence and its motives, calls Ronnie's bluff, senses that he is as troubled as Rae, and becomes a guiding force in the young couple's resurrection.—Joe Jurca"
Black Swan,https://imsdb.com/Movie Scripts/Black Swan Script.html,"Thomas Leroy, the artistic director of a New York City ballet company, is mounting Swan Lake as the company's next production. Many of the ballerinas in the company aspire for the lead, which would have previously gone to the company's former principle dancer Beth Macintyre before her forced retirement. No one wants the the role more than Nina Sayers, who lives to dance, so much so that she wants to be exactly like Beth in every aspect. Nina lives with her overbearing mother, Erica Sayers, a former ballerina who now lives vicariously through her daughter as she never made it as a ballerina herself. Nina is a technically proficient and hard working dancer who can easily capture the essence of the innocent white swan, but Thomas doesn't believe she has the dark passion required to portray the black swan. An unexpected move by Nina convinces Thomas that Nina may have what it takes, and he gives her the lead. Thomas will do anything to get that passion out of her. Nina feels that her new place in the company is threatened by Lily, a ballerina newly arrived into the company from San Francisco. Lily, who is looser in every aspect of her life than Nina, encompasses the essence of the black swan more so than Nina. But as Nina believes Lily is to her what she herself was to Beth, Nina, in doing whatever it takes to be perfect as both the white swan and the black swan, descends into madness.—Huggo"
